analysis_status,group,table,cell,metric,metric_label,expected_seeds,included_seeds,complete,n_seeds,mean,sd
complete,ablation_n7_r1,ablation,default,any_false_ejection_rate,any_false_ejection_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.1854,0.07069158365746236
complete,ablation_n7_r1,ablation,default,any_incident_false_ejection_rate,any_incident_false_ejection_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.16119999999999998,0.05661006977561501
complete,ablation_n7_r1,ablation,default,any_incident_free_false_ejection_rate,any_incident_free_false_ejection_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.0242,0.0168285471743701
complete,ablation_n7_r1,ablation,default,coalition_false_claim_rate,coalition_false_claim_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.3738,0.1156987467520716
complete,ablation_n7_r1,ablation,default,coalition_favorable_rate,coalition_favorable_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.23379999999999995,0.07811977982559859
complete,ablation_n7_r1,ablation,default,creator_ejection_rate,creator_ejection_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.5609999999999999,0.07215261603018978
complete,ablation_n7_r1,ablation,default,creator_survival,creator_survival,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.40099999999999997,0.0507543101617981
complete,ablation_n7_r1,ablation,default,false_ejection_rate,false_ejection_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.1854,0.07069158365746236
complete,ablation_n7_r1,ablation,default,false_ejections_per_incident_free_meeting,false_ejections_per_incident_free_meeting,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.5896410256410256,0.10894895631525237
complete,ablation_n7_r1,ablation,default,false_ejections_per_incident_meeting,false_ejections_per_incident_meeting,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.16851052616610845,0.061510901121075275
complete,ablation_n7_r1,ablation,default,false_ejections_per_meeting,false_ejections_per_meeting,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.1854,0.07069158365746236
complete,ablation_n7_r1,ablation,default,incident_rate,incident_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.9620000000000001,0.02283637449333846
complete,ablation_n7_r1,ablation,default,mean_false_ejections,mean_false_ejections,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.1854,0.07069158365746236
complete,ablation_n7_r1,ablation,default,mean_incident_false_ejections,mean_incident_false_ejections,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.16119999999999998,0.05661006977561501
complete,ablation_n7_r1,ablation,default,mean_incident_free_false_ejections,mean_incident_free_false_ejections,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.0242,0.0168285471743701
complete,ablation_n7_r1,ablation,default,mean_rounds_played,mean_rounds_played,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,1.0,0.0
complete,ablation_n7_r1,ablation,default,no_ejection_rate,no_ejection_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.0484,0.010876580344942984
