analysis_status,group,table,cell,metric,expected_seeds,included_seeds,complete,n_seeds,mean,sd
complete,f3_budget_d1600_crew5,crossplay,coalition0_vs_learned_crew1,false_ejection_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.382,0.05454814387309617
complete,f3_tenseed_crew5,crossplay,coalition0_vs_learned_crew1,false_ejection_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.38739999999999997,0.03952594084901712
complete,f3_budget_d1600_crew5,crossplay,coalition1_vs_learned_crew1,false_ejection_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.516,0.03905124837953327
complete,f3_tenseed_crew5,crossplay,coalition1_vs_learned_crew1,false_ejection_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.5252000000000001,0.04809573785690369
complete,f3_budget_d800_crew5,crossplay,coalition0_vs_learned_crew1,false_ejection_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.4394,0.06917947672539887
complete,f3_budget_d800_crew5,crossplay,coalition1_vs_learned_crew1,false_ejection_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.5671999999999999,0.054819704486616855
complete,f4_budget_d800_crew5,crossplay,coalition0_vs_learned_crew1,any_false_ejection_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.7452000000000001,0.04830320900312939
complete,f4_tenseed_crew5,crossplay,coalition0_vs_learned_crew1,any_false_ejection_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.8400000000000001,0.05043808085167395
complete,f4_budget_d800_crew5,crossplay,coalition1_vs_learned_crew1,any_false_ejection_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.852,0.033526109228480414
complete,f4_tenseed_crew5,crossplay,coalition1_vs_learned_crew1,any_false_ejection_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.8462,0.012153188881935485
complete,f4_budget_d800_crew5,crossplay,coalition0_vs_learned_crew1,coalition_game_win_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.1648,0.07774123744834525
complete,f4_tenseed_crew5,crossplay,coalition0_vs_learned_crew1,coalition_game_win_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.354,0.11465600725648875
complete,f4_budget_d800_crew5,crossplay,coalition1_vs_learned_crew1,coalition_game_win_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.8482,0.029456747953567432
complete,f4_tenseed_crew5,crossplay,coalition1_vs_learned_crew1,coalition_game_win_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.8542,0.029380265485526143
complete,multigen_dependence_n7_r8_k4,loop_h4,c_stage_mean,any_false_ejection_rate,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",True,10,0.8896749999999999,0.006979185323358139
complete,multigen_none_n7_r8_k10,loop_h4,c_stage_mean,any_false_ejection_rate,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",True,10,0.8472500000000001,0.008617649847196665
complete,multigen_dependence_n7_r8_k4,loop_h4,d_stage_mean,any_false_ejection_rate,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",True,10,0.762625,0.04741824104006107
complete,multigen_none_n7_r8_k10,loop_h4,d_stage_mean,any_false_ejection_rate,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",True,10,0.65825,0.05138566055925632
complete,multigen_dependence_n7_r8_k4,loop_h4,matrix_adaptation_gain,any_false_ejection_rate,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",True,10,0.12900000000000003,0.046163959006037494
complete,multigen_none_n7_r8_k10,loop_h4,matrix_adaptation_gain,any_false_ejection_rate,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",True,10,0.19134999999999996,0.05057944795621594
complete,multigen_dependence_n7_r8_k4,loop_h4,c_stage_mean,coalition_game_win_rate,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",True,10,0.78865,0.0259155144438402
complete,multigen_none_n7_r8_k10,loop_h4,c_stage_mean,coalition_game_win_rate,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",True,10,0.8174249999999998,0.02452579424469949
