cell,complete,expected_seeds,group,included_seeds,mean,metric,metric_label,n_seeds,sd,table
default,True,"[0, 1, 2, 3, 4]",ablation_n7_r1,"[0, 1, 2, 3, 4]",0.1854,any_false_ejection_rate,any_false_ejection_rate,5,0.07069158365746236,ablation
default,True,"[0, 1, 2, 3, 4]",ablation_n7_r1,"[0, 1, 2, 3, 4]",0.16119999999999998,any_incident_false_ejection_rate,any_incident_false_ejection_rate,5,0.05661006977561501,ablation
default,True,"[0, 1, 2, 3, 4]",ablation_n7_r1,"[0, 1, 2, 3, 4]",0.0242,any_incident_free_false_ejection_rate,any_incident_free_false_ejection_rate,5,0.0168285471743701,ablation
default,True,"[0, 1, 2, 3, 4]",ablation_n7_r1,"[0, 1, 2, 3, 4]",0.3738,coalition_false_claim_rate,coalition_false_claim_rate,5,0.1156987467520716,ablation
default,True,"[0, 1, 2, 3, 4]",ablation_n7_r1,"[0, 1, 2, 3, 4]",0.23379999999999995,coalition_favorable_rate,coalition_favorable_rate,5,0.07811977982559859,ablation
default,True,"[0, 1, 2, 3, 4]",ablation_n7_r1,"[0, 1, 2, 3, 4]",0.5609999999999999,creator_ejection_rate,creator_ejection_rate,5,0.07215261603018978,ablation
default,True,"[0, 1, 2, 3, 4]",ablation_n7_r1,"[0, 1, 2, 3, 4]",0.40099999999999997,creator_survival,creator_survival,5,0.0507543101617981,ablation
default,True,"[0, 1, 2, 3, 4]",ablation_n7_r1,"[0, 1, 2, 3, 4]",0.1854,false_ejection_rate,false_ejection_rate,5,0.07069158365746236,ablation
default,True,"[0, 1, 2, 3, 4]",ablation_n7_r1,"[0, 1, 2, 3, 4]",0.5896410256410256,false_ejections_per_incident_free_meeting,false_ejections_per_incident_free_meeting,5,0.10894895631525237,ablation
default,True,"[0, 1, 2, 3, 4]",ablation_n7_r1,"[0, 1, 2, 3, 4]",0.16851052616610845,false_ejections_per_incident_meeting,false_ejections_per_incident_meeting,5,0.061510901121075275,ablation
default,True,"[0, 1, 2, 3, 4]",ablation_n7_r1,"[0, 1, 2, 3, 4]",0.1854,false_ejections_per_meeting,false_ejections_per_meeting,5,0.07069158365746236,ablation
default,True,"[0, 1, 2, 3, 4]",ablation_n7_r1,"[0, 1, 2, 3, 4]",0.9620000000000001,incident_rate,incident_rate,5,0.02283637449333846,ablation
default,True,"[0, 1, 2, 3, 4]",ablation_n7_r1,"[0, 1, 2, 3, 4]",0.1854,mean_false_ejections,mean_false_ejections,5,0.07069158365746236,ablation
default,True,"[0, 1, 2, 3, 4]",ablation_n7_r1,"[0, 1, 2, 3, 4]",0.16119999999999998,mean_incident_false_ejections,mean_incident_false_ejections,5,0.05661006977561501,ablation
default,True,"[0, 1, 2, 3, 4]",ablation_n7_r1,"[0, 1, 2, 3, 4]",0.0242,mean_incident_free_false_ejections,mean_incident_free_false_ejections,5,0.0168285471743701,ablation
default,True,"[0, 1, 2, 3, 4]",ablation_n7_r1,"[0, 1, 2, 3, 4]",1.0,mean_rounds_played,mean_rounds_played,5,0.0,ablation
default,True,"[0, 1, 2, 3, 4]",ablation_n7_r1,"[0, 1, 2, 3, 4]",0.0484,no_ejection_rate,no_ejection_rate,5,0.010876580344942984,ablation
default,True,"[0, 1, 2, 3, 4]",ablation_n7_r1,"[0, 1, 2, 3, 4]",0.2404,same_target_vote_rate,same_target_vote_rate,5,0.09639657670270246,ablation
