presentation_table,cell,complete,expected_seeds,group,included_seeds,mean,metric,metric_label,n_seeds,sd,table
F1_untrained_and_trained_holdout_endpoints,final,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",f1_tenseed_crew3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.6914999999999999,coalition_favorable_rate,coalition_favorable_rate,10,0.0524430908488218,holdout
F1_untrained_and_trained_holdout_endpoints,final,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",f1_tenseed_crew3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.27125,false_ejection_rate,false_ejection_rate,10,0.04558645632202617,holdout
F1_untrained_and_trained_holdout_endpoints,initial,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",f1_tenseed_crew3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.20125,coalition_favorable_rate,coalition_favorable_rate,10,0.019084970817664644,holdout
F1_untrained_and_trained_holdout_endpoints,initial,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",f1_tenseed_crew3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.045,false_ejection_rate,false_ejection_rate,10,0.010540925533894597,holdout
F1_untrained_and_trained_holdout_endpoints,final,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",f1_tenseed_crew5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.25875000000000004,coalition_favorable_rate,coalition_favorable_rate,10,0.02520058420839573,holdout
F1_untrained_and_trained_holdout_endpoints,final,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",f1_tenseed_crew5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.2125,false_ejection_rate,false_ejection_rate,10,0.01844661968431555,holdout
F1_untrained_and_trained_holdout_endpoints,initial,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",f1_tenseed_crew5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.0985,coalition_favorable_rate,coalition_favorable_rate,10,0.014249756333199371,holdout
F1_untrained_and_trained_holdout_endpoints,initial,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",f1_tenseed_crew5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.07300000000000001,false_ejection_rate,false_ejection_rate,10,0.008399735445569434,holdout
F1_untrained_and_trained_holdout_endpoints,final,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",f1_tenseed_crew7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.21549999999999997,coalition_favorable_rate,coalition_favorable_rate,10,0.02879043050891892,holdout
F1_untrained_and_trained_holdout_endpoints,final,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",f1_tenseed_crew7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.194,false_ejection_rate,false_ejection_rate,10,0.02659365003571759,holdout
