analysis_status,job,group,seed,metric,generation,gap,best_observed_coalition,best_observed_defender,mc_low,mc_high,simultaneous_cell_epsilon,episodes_per_cell,pool_size
complete,multigen_none_n7_r8_k10_s0,multigen_none_n7_r8_k10,0,any_false_ejection_rate,0,0.238,0,8,0.053775463092337494,0.36211226845383127,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s0,multigen_none_n7_r8_k10,0,any_false_ejection_rate,1,0.646,0,0,0.4617754630923375,0.8302245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s0,multigen_none_n7_r8_k10,0,any_false_ejection_rate,2,0.626,2,0,0.44177546309233745,0.8102245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s0,multigen_none_n7_r8_k10,0,any_false_ejection_rate,3,0.598,0,0,0.4137754630923375,0.7822245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s0,multigen_none_n7_r8_k10,0,any_false_ejection_rate,4,0.6579999999999999,4,0,0.4737754630923375,0.8422245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s0,multigen_none_n7_r8_k10,0,any_false_ejection_rate,5,0.646,0,0,0.46177546309233747,0.8302245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s0,multigen_none_n7_r8_k10,0,any_false_ejection_rate,6,0.55,6,0,0.3657754630923375,0.7342245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s0,multigen_none_n7_r8_k10,0,any_false_ejection_rate,7,0.6679999999999999,0,0,0.48377546309233743,0.8522245369076624,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s0,multigen_none_n7_r8_k10,0,any_false_ejection_rate,8,0.686,8,0,0.5017754630923374,0.8641122684538313,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s0,multigen_none_n7_r8_k10,0,any_false_ejection_rate,9,0.554,0,0,0.36977546309233755,0.7382245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s0,multigen_none_n7_r8_k10,0,any_false_ejection_rate,10,0.49,10,0,0.3057754630923375,0.6742245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s0,multigen_none_n7_r8_k10,0,coalition_game_win_rate,0,0.786,0,8,0.6017754630923375,0.9101122684538313,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s0,multigen_none_n7_r8_k10,0,coalition_game_win_rate,1,0.658,1,0,0.4737754630923375,0.8422245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s0,multigen_none_n7_r8_k10,0,coalition_game_win_rate,2,0.49799999999999994,2,0,0.31377546309233745,0.6822245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s0,multigen_none_n7_r8_k10,0,coalition_game_win_rate,3,0.506,3,0,0.3217754630923375,0.6902245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s0,multigen_none_n7_r8_k10,0,coalition_game_win_rate,4,0.6559999999999999,4,0,0.4717754630923374,0.8402245369076624,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s0,multigen_none_n7_r8_k10,0,coalition_game_win_rate,5,0.6499999999999999,5,0,0.46577546309233747,0.8342245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s0,multigen_none_n7_r8_k10,0,coalition_game_win_rate,6,0.53,6,0,0.34577546309233753,0.7142245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s0,multigen_none_n7_r8_k10,0,coalition_game_win_rate,7,0.608,7,0,0.4237754630923375,0.7922245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s0,multigen_none_n7_r8_k10,0,coalition_game_win_rate,8,0.71,8,0,0.5257754630923375,0.8942245369076626,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s0,multigen_none_n7_r8_k10,0,coalition_game_win_rate,9,0.6180000000000001,9,10,0.43377546309233755,0.8022245369076626,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s0,multigen_none_n7_r8_k10,0,coalition_game_win_rate,10,0.544,10,0,0.3597754630923375,0.7282245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s1,multigen_none_n7_r8_k10,1,any_false_ejection_rate,0,0.27,0,3,0.08577546309233752,0.3821122684538313,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s1,multigen_none_n7_r8_k10,1,any_false_ejection_rate,1,0.6699999999999999,8,0,0.48577546309233743,0.8542245369076624,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s1,multigen_none_n7_r8_k10,1,any_false_ejection_rate,2,0.6920000000000001,8,0,0.5077754630923375,0.8701122684538313,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s1,multigen_none_n7_r8_k10,1,any_false_ejection_rate,3,0.556,3,0,0.37177546309233755,0.7402245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s1,multigen_none_n7_r8_k10,1,any_false_ejection_rate,4,0.608,4,0,0.4237754630923375,0.7922245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s1,multigen_none_n7_r8_k10,1,any_false_ejection_rate,5,0.602,0,0,0.4177754630923375,0.7862245369076625,0.09211226845383126,500,11
