kind,crew,condition,rule,variant,metric,n_replicates,mean,sd,minimum,maximum,replicate_values
outcome,3,alibi,mean,alibi_off,coalition_favorable_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,mean,alibi_off,creator_ejection_rate,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
outcome,3,alibi,mean,alibi_off,creator_survival,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,mean,alibi_off,false_ejection_rate,10,0.403,0.0219139732185248,0.358,0.438,"[0.358,0.406,0.438,0.392,0.41,0.398,0.394,0.412,0.428,0.394]"
outcome,3,alibi,mean,alibi_off,incident_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,mean,alibi_off,no_ejection_rate,10,0.597,0.021913973218524802,0.562,0.642,"[0.642,0.594,0.562,0.608,0.59,0.602,0.606,0.588,0.572,0.606]"
outcome,3,alibi,mean,baseline,coalition_favorable_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,mean,baseline,creator_ejection_rate,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
outcome,3,alibi,mean,baseline,creator_survival,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,mean,baseline,false_ejection_rate,10,0.5176000000000001,0.024940818840696554,0.482,0.57,"[0.482,0.532,0.57,0.506,0.52,0.506,0.488,0.532,0.518,0.522]"
outcome,3,alibi,mean,baseline,incident_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,mean,baseline,no_ejection_rate,10,0.4824,0.024940818840696564,0.43,0.518,"[0.518,0.468,0.43,0.494,0.48,0.494,0.512,0.468,0.482,0.478]"
outcome,3,alibi,mean,catch_outside,coalition_favorable_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,mean,catch_outside,creator_ejection_rate,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
outcome,3,alibi,mean,catch_outside,creator_survival,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,mean,catch_outside,false_ejection_rate,10,0.518,0.024979991993593593,0.482,0.57,"[0.482,0.532,0.57,0.506,0.52,0.508,0.488,0.534,0.518,0.522]"
outcome,3,alibi,mean,catch_outside,incident_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,mean,catch_outside,no_ejection_rate,10,0.48199999999999993,0.024979991993593593,0.43,0.518,"[0.518,0.468,0.43,0.494,0.48,0.492,0.512,0.466,0.482,0.478]"
outcome,3,alibi,sharp_credibility,alibi_off,coalition_favorable_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,sharp_credibility,alibi_off,creator_ejection_rate,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
outcome,3,alibi,sharp_credibility,alibi_off,creator_survival,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,sharp_credibility,alibi_off,false_ejection_rate,10,0.4406,0.02223210891181192,0.408,0.474,"[0.41,0.432,0.474,0.428,0.446,0.444,0.408,0.468,0.438,0.458]"
outcome,3,alibi,sharp_credibility,alibi_off,incident_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,sharp_credibility,alibi_off,no_ejection_rate,10,0.5594,0.022232108911811887,0.526,0.592,"[0.59,0.568,0.526,0.572,0.554,0.556,0.592,0.532,0.562,0.542]"
outcome,3,alibi,sharp_credibility,baseline,coalition_favorable_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,sharp_credibility,baseline,creator_ejection_rate,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
outcome,3,alibi,sharp_credibility,baseline,creator_survival,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,sharp_credibility,baseline,false_ejection_rate,10,0.5144,0.025153749444389216,0.486,0.57,"[0.486,0.514,0.57,0.5,0.52,0.502,0.488,0.532,0.502,0.53]"
outcome,3,alibi,sharp_credibility,baseline,incident_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,sharp_credibility,baseline,no_ejection_rate,10,0.4856,0.025153749444389226,0.43,0.514,"[0.514,0.486,0.43,0.5,0.48,0.498,0.512,0.468,0.498,0.47]"
outcome,3,alibi,sharp_credibility,catch_outside,coalition_favorable_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,sharp_credibility,catch_outside,creator_ejection_rate,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
outcome,3,alibi,sharp_credibility,catch_outside,creator_survival,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,sharp_credibility,catch_outside,false_ejection_rate,10,0.4528,0.020115223643355853,0.42,0.486,"[0.44,0.462,0.486,0.436,0.446,0.468,0.42,0.476,0.442,0.452]"
outcome,3,alibi,sharp_credibility,catch_outside,incident_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,sharp_credibility,catch_outside,no_ejection_rate,10,0.5472,0.02011522364335584,0.514,0.58,"[0.56,0.538,0.514,0.564,0.554,0.532,0.58,0.524,0.558,0.548]"
outcome,3,alibi,soft_credibility,alibi_off,coalition_favorable_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,soft_credibility,alibi_off,creator_ejection_rate,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
outcome,3,alibi,soft_credibility,alibi_off,creator_survival,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,soft_credibility,alibi_off,false_ejection_rate,10,0.3728,0.01932643555110749,0.342,0.404,"[0.342,0.374,0.404,0.36,0.37,0.4,0.354,0.384,0.374,0.366]"
outcome,3,alibi,soft_credibility,alibi_off,incident_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,soft_credibility,alibi_off,no_ejection_rate,10,0.6272000000000001,0.0193264355511075,0.596,0.658,"[0.658,0.626,0.596,0.64,0.63,0.6,0.646,0.616,0.626,0.634]"
outcome,3,alibi,soft_credibility,baseline,coalition_favorable_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,soft_credibility,baseline,creator_ejection_rate,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
