crew,condition,rule,metric,contrast,n_replicates,mean,sd,minimum,maximum,replicate_values,variant
3,alibi,mean,coalition_favorable_rate,alibi_off minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,alibi,mean,creator_ejection_rate,alibi_off minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,alibi,mean,creator_survival,alibi_off minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,alibi,mean,false_ejection_rate,alibi_off minus baseline,10,-0.1146,0.014237665226823917,-0.13199999999999995,-0.09000000000000002,"[-0.124,-0.126,-0.13199999999999995,-0.11399999999999999,-0.11000000000000004,-0.10799999999999998,-0.09399999999999997,-0.12000000000000005,-0.09000000000000002,-0.128]",
3,alibi,mean,incident_rate,alibi_off minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,alibi,mean,no_ejection_rate,alibi_off minus baseline,10,0.1146,0.014237665226823936,0.08999999999999997,0.13200000000000006,"[0.124,0.12599999999999995,0.13200000000000006,0.11399999999999999,0.10999999999999999,0.10799999999999998,0.09399999999999997,0.11999999999999994,0.08999999999999997,0.128]",
3,alibi,mean,coalition_favorable_rate,catch_outside minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,alibi,mean,creator_ejection_rate,catch_outside minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,alibi,mean,creator_survival,catch_outside minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,alibi,mean,false_ejection_rate,catch_outside minus baseline,10,0.00040000000000000034,0.0008432740427115685,0.0,0.0020000000000000018,"[0.0,0.0,0.0,0.0,0.0,0.0020000000000000018,0.0,0.0020000000000000018,0.0,0.0]",
3,alibi,mean,incident_rate,catch_outside minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,alibi,mean,no_ejection_rate,catch_outside minus baseline,10,-0.00040000000000000034,0.0008432740427115685,-0.0020000000000000018,0.0,"[0.0,0.0,0.0,0.0,0.0,-0.0020000000000000018,0.0,-0.0020000000000000018,0.0,0.0]",
3,alibi,sharp_credibility,coalition_favorable_rate,alibi_off minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,alibi,,coalition_favorable_rate,sharp_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",alibi_off
