crew,condition,rule,variant,metric,replicate,value,kind
3,truthful,mean,baseline,false_ejection_rate,0,0.0,outcome
3,truthful,mean,baseline,coalition_favorable_rate,0,0.94,outcome
3,truthful,mean,baseline,creator_ejection_rate,0,0.06,outcome
3,truthful,mean,baseline,creator_survival,0,0.94,outcome
3,truthful,mean,baseline,no_ejection_rate,0,0.94,outcome
3,truthful,mean,baseline,incident_rate,0,1.0,outcome
3,truthful,mean,alibi_off,false_ejection_rate,0,0.0,outcome
3,truthful,mean,alibi_off,coalition_favorable_rate,0,0.89,outcome
3,truthful,mean,alibi_off,creator_ejection_rate,0,0.11,outcome
3,truthful,mean,alibi_off,creator_survival,0,0.89,outcome
3,truthful,mean,alibi_off,no_ejection_rate,0,0.89,outcome
3,truthful,mean,alibi_off,incident_rate,0,1.0,outcome
3,truthful,mean,catch_outside,false_ejection_rate,0,0.0,outcome
3,truthful,mean,catch_outside,coalition_favorable_rate,0,0.94,outcome
3,truthful,mean,catch_outside,creator_ejection_rate,0,0.06,outcome
3,truthful,mean,catch_outside,creator_survival,0,0.94,outcome
3,truthful,mean,catch_outside,no_ejection_rate,0,0.94,outcome
3,truthful,mean,catch_outside,incident_rate,0,1.0,outcome
3,truthful,soft_credibility,baseline,false_ejection_rate,0,0.0,outcome
3,truthful,soft_credibility,baseline,coalition_favorable_rate,0,0.94,outcome
3,truthful,soft_credibility,baseline,creator_ejection_rate,0,0.06,outcome
3,truthful,soft_credibility,baseline,creator_survival,0,0.94,outcome
3,truthful,soft_credibility,baseline,no_ejection_rate,0,0.94,outcome
3,truthful,soft_credibility,baseline,incident_rate,0,1.0,outcome
3,truthful,soft_credibility,baseline,n_speakers,0,4.0,voter
3,truthful,soft_credibility,baseline,coalition_share,0,0.5,voter
3,truthful,soft_credibility,baseline,coalition_weight_soft,0,0.5,voter
3,truthful,soft_credibility,baseline,weight_minus_share,0,0.0,voter
3,truthful,soft_credibility,baseline,cred_coalition,0,3.0,voter
3,truthful,soft_credibility,baseline,cred_honest,0,3.0,voter
