figure,group,table,cell,metric,row,column,n_seeds,mean,sd
hypothesis_crossplay.pdf,counterattack_hyp_n7_r1,crossplay,mean|mean,false_ejection_rate,mean,mean,10,0.10429999999999999,0.03711558522597572
hypothesis_crossplay.pdf,counterattack_hyp_n7_r1,crossplay,mean|soft,false_ejection_rate,mean,soft,10,0.1484,0.039878147733648145
hypothesis_crossplay.pdf,counterattack_hyp_n7_r1,crossplay,mean|hypothesis,false_ejection_rate,mean,hypothesis,10,0.0769,0.03072259392983896
hypothesis_crossplay.pdf,counterattack_hyp_n7_r1,crossplay,soft|mean,false_ejection_rate,soft,mean,10,0.1427,0.05300324937628301
hypothesis_crossplay.pdf,counterattack_hyp_n7_r1,crossplay,soft|soft,false_ejection_rate,soft,soft,10,0.19419999999999998,0.054572683439407466
hypothesis_crossplay.pdf,counterattack_hyp_n7_r1,crossplay,soft|hypothesis,false_ejection_rate,soft,hypothesis,10,0.1255,0.05837665058337394
hypothesis_crossplay.pdf,counterattack_hyp_n7_r1,crossplay,hypothesis|mean,false_ejection_rate,hypothesis,mean,10,0.0962,0.06265921941564367
hypothesis_crossplay.pdf,counterattack_hyp_n7_r1,crossplay,hypothesis|soft,false_ejection_rate,hypothesis,soft,10,0.09759999999999999,0.06793820721803012
hypothesis_crossplay.pdf,counterattack_hyp_n7_r1,crossplay,hypothesis|hypothesis,false_ejection_rate,hypothesis,hypothesis,10,0.4217000000000001,0.06645474650717835
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C0|D0,coalition_game_win_rate,C0,D0,10,0.9658,0.010932113753117981
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C0|D1,coalition_game_win_rate,C0,D1,10,0.3524,0.10725172881279506
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C0|D2,coalition_game_win_rate,C0,D2,10,0.2912,0.08601395235657991
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C0|D3,coalition_game_win_rate,C0,D3,10,0.2924,0.07556483603134759
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C0|D4,coalition_game_win_rate,C0,D4,10,0.27240000000000003,0.0830999398315065
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C0|D5,coalition_game_win_rate,C0,D5,10,0.3372,0.11498096460815686
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C0|D6,coalition_game_win_rate,C0,D6,10,0.2618,0.1081211254925594
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C0|D7,coalition_game_win_rate,C0,D7,10,0.3702,0.13753205686917747
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C0|D8,coalition_game_win_rate,C0,D8,10,0.28700000000000003,0.09154112615528487
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C0|D9,coalition_game_win_rate,C0,D9,10,0.2528,0.10460167833792683
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C0|D10,coalition_game_win_rate,C0,D10,10,0.3502,0.0976863461401962
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C1|D0,coalition_game_win_rate,C1,D0,10,0.20539999999999997,0.06310520316635282
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C1|D1,coalition_game_win_rate,C1,D1,10,0.8562,0.03114767692425517
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C1|D2,coalition_game_win_rate,C1,D2,10,0.3512,0.11530519888057474
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C1|D3,coalition_game_win_rate,C1,D3,10,0.5884,0.08640884728364849
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C1|D4,coalition_game_win_rate,C1,D4,10,0.4805999999999999,0.13366641728987544
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C1|D5,coalition_game_win_rate,C1,D5,10,0.6178000000000001,0.11479624461530864
